area_sqft,bedrooms,bathrooms,balconies,age_years,floor,total_floors,parking,location,furnishing,property_type,price
4414,2,1,3,24,2,20,2,Bangalore,Semi-Furnished,Independent House,33990992.33
1994,4,3,1,5,7,7,2,Chennai,Semi-Furnished,Apartment,15059931.0
3588,3,1,2,11,11,12,0,Pune,Semi-Furnished,Independent House,41511726.24
899,3,4,1,2,12,22,1,Nagpur,Furnished,Apartment,4973525.38
3233,3,1,2,13,15,20,2,Pune,Semi-Furnished,Apartment,21541076.31
4572,5,1,1,2,15,20,2,Bangalore,Unfurnished,Independent House,27717034.44
3226,1,4,3,7,3,18,0,Pune,Unfurnished,Apartment,28486016.12
2639,1,1,1,3,11,26,2,Chennai,Furnished,Apartment,26832449.64
1193,4,2,0,13,17,27,2,Bangalore,Semi-Furnished,Villa,18192004.34
3193,4,1,2,25,9,29,2,Nagpur,Semi-Furnished,Apartment,16108747.89
3732,4,1,1,20,2,16,1,Chennai,Furnished,Independent House,39592540.83
3503,5,2,1,29,14,16,1,Mumbai,Semi-Furnished,Apartment,42567992.35
4629,4,3,3,18,14,30,0,Nagpur,Furnished,Apartment,36029053.0
3011,1,1,1,22,10,26,1,Nagpur,Furnished,Apartment,18015021.66
1424,2,1,1,21,16,30,0,Delhi,Semi-Furnished,Independent House,8416685.75
2256,1,1,3,16,14,19,2,Delhi,Furnished,Independent House,19710088.39
2657,1,2,2,2,18,27,0,Pune,Unfurnished,Villa,24966021.78
2800,3,4,1,11,7,18,1,Hyderabad,Unfurnished,Independent House,14548203.07
3779,5,3,0,1,12,22,2,Mumbai,Semi-Furnished,Apartment,59555513.53
3110,1,2,3,7,10,19,1,Chennai,Unfurnished,Apartment,22826743.16
1191,1,4,0,27,3,29,0,Mumbai,Unfurnished,Apartment,10384794.17
1670,5,1,1,30,15,19,1,Pune,Semi-Furnished,Apartment,12092613.2
4631,3,4,0,0,9,22,0,Pune,Unfurnished,Apartment,47715136.06
1443,3,1,0,6,11,11,1,Pune,Furnished,Apartment,9775189.53
2162,3,2,2,10,14,28,2,Hyderabad,Unfurnished,Villa,21892057.96
943,2,3,0,14,3,18,2,Pune,Unfurnished,Independent House,7757563.95
1453,1,3,3,16,8,12,0,Mumbai,Furnished,Apartment,13815215.63
2945,5,2,2,16,5,21,0,Bangalore,Unfurnished,Apartment,28586404.48
1649,4,4,2,3,17,23,2,Delhi,Unfurnished,Apartment,17793587.0
3547,4,1,3,2,15,27,0,Chennai,Unfurnished,Apartment,30983484.69
507,2,1,1,22,11,18,0,Mumbai,Semi-Furnished,Apartment,5427284.76
2656,3,2,1,4,14,27,1,Delhi,Semi-Furnished,Villa,44356519.96
983,1,3,0,6,18,24,2,Pune,Unfurnished,Independent House,8604666.24
672,3,3,0,13,8,10,1,Mumbai,Semi-Furnished,Villa,9808328.52
4667,5,2,0,22,20,21,1,Delhi,Semi-Furnished,Apartment,41686445.25
1190,3,3,1,9,2,9,2,Pune,Unfurnished,Independent House,13821678.16
1018,5,3,3,15,11,20,0,Delhi,Furnished,Apartment,8947302.5
4488,4,2,2,20,10,27,2,Delhi,Unfurnished,Apartment,35930387.38
4061,2,1,0,6,20,27,0,Chennai,Unfurnished,Independent House,22496991.27
1965,2,1,1,8,11,12,1,Chennai,Unfurnished,Independent House,12499227.82
2367,4,4,2,22,13,30,0,Nagpur,Unfurnished,Apartment,7631254.82
3985,2,3,1,27,19,19,2,Mumbai,Semi-Furnished,Apartment,33032793.78
3807,2,2,1,1,2,27,2,Pune,Unfurnished,Apartment,34853668.61
2580,5,4,1,30,17,30,0,Mumbai,Semi-Furnished,Independent House,19874410.03
4828,4,1,0,6,5,19,0,Bangalore,Unfurnished,Apartment,40100055.84
4426,3,2,3,13,11,26,1,Pune,Semi-Furnished,Apartment,45259030.19
3774,5,3,3,27,16,22,0,Nagpur,Semi-Furnished,Apartment,16786828.91
1212,2,3,1,4,2,26,1,Pune,Semi-Furnished,Apartment,7592172.45
1217,5,3,2,25,7,30,2,Bangalore,Semi-Furnished,Independent House,12256851.34
2515,2,4,1,30,8,30,2,Delhi,Semi-Furnished,Apartment,15965347.8
3722,1,3,1,15,20,24,0,Pune,Furnished,Apartment,23276028.32
1856,5,3,0,29,10,27,2,Nagpur,Unfurnished,Apartment,7053221.73
4581,1,3,3,25,2,24,0,Bangalore,Unfurnished,Apartment,19776286.22
4557,2,3,0,3,4,10,0,Delhi,Unfurnished,Apartment,43139862.74
3212,4,3,1,16,10,29,2,Hyderabad,Semi-Furnished,Apartment,24727027.26
2418,1,1,3,18,20,25,1,Mumbai,Furnished,Independent House,30544223.65
2156,5,1,3,24,16,27,0,Delhi,Unfurnished,Apartment,9875579.83
4469,5,2,3,28,15,29,0,Pune,Semi-Furnished,Villa,47078255.33
4993,3,4,0,24,3,20,0,Chennai,Unfurnished,Apartment,19151190.33
4819,5,2,2,0,15,26,1,Delhi,Unfurnished,Independent House,61377673.35
2456,5,4,3,9,11,12,2,Bangalore,Semi-Furnished,Apartment,25922073.17
4336,3,4,2,29,16,17,1,Mumbai,Unfurnished,Apartment,36198188.89
985,1,3,1,22,1,4,1,Mumbai,Furnished,Apartment,9945199.56
4281,1,4,1,12,2,23,2,Delhi,Unfurnished,Apartment,36620903.77
1487,3,1,0,17,18,22,1,Delhi,Unfurnished,Apartment,8594868.32
748,1,4,3,17,1,6,0,Bangalore,Furnished,Apartment,5426813.88
1960,2,4,1,6,0,1,1,Pune,Furnished,Villa,23202015.89
3442,2,4,0,5,16,27,1,Mumbai,Unfurnished,Apartment,27236542.87
1437,4,4,0,9,10,21,2,Mumbai,Semi-Furnished,Apartment,12200693.55
1966,3,3,0,18,2,18,1,Bangalore,Unfurnished,Apartment,9833037.89
905,2,2,1,19,19,19,2,Pune,Semi-Furnished,Apartment,4191063.29
4552,1,2,2,17,17,27,1,Chennai,Semi-Furnished,Apartment,26872986.05
3020,1,4,3,29,0,25,2,Delhi,Semi-Furnished,Villa,38273678.33
4038,3,1,0,27,15,26,2,Bangalore,Furnished,Independent House,33773342.12
2886,5,1,0,29,16,22,1,Delhi,Unfurnished,Independent House,29537457.44
2818,1,3,1,13,9,25,1,Bangalore,Furnished,Apartment,27109241.74
528,1,4,1,22,2,11,2,Hyderabad,Semi-Furnished,Apartment,5090552.09
1951,3,2,0,8,13,23,1,Delhi,Unfurnished,Villa,18194478.88
3882,2,2,3,11,4,4,2,Mumbai,Semi-Furnished,Apartment,28990874.29
2675,4,1,3,24,1,12,2,Nagpur,Furnished,Independent House,11711497.67
2990,3,3,0,11,20,24,1,Mumbai,Semi-Furnished,Independent House,28223381.96
622,4,4,2,9,17,29,0,Mumbai,Unfurnished,Apartment,7935047.66
1647,2,2,2,13,11,30,0,Bangalore,Unfurnished,Apartment,14985400.79
2584,1,3,3,26,5,17,1,Nagpur,Unfurnished,Apartment,9247591.93
794,1,2,2,6,10,29,2,Bangalore,Semi-Furnished,Independent House,6560892.21
2996,4,4,1,13,20,20,1,Bangalore,Semi-Furnished,Apartment,37355434.76
599,3,3,1,1,20,26,1,Bangalore,Semi-Furnished,Independent House,7559134.23
1079,4,2,2,19,7,18,1,Bangalore,Semi-Furnished,Apartment,12222624.67
2571,1,1,3,9,20,29,0,Bangalore,Unfurnished,Apartment,16098479.62
2458,4,3,2,1,13,21,1,Pune,Unfurnished,Apartment,16730750.94
1357,1,4,3,16,5,19,0,Nagpur,Unfurnished,Villa,5971773.4
3394,2,4,2,27,12,19,1,Mumbai,Semi-Furnished,Apartment,23542573.92
862,3,4,3,10,2,16,0,Delhi,Semi-Furnished,Villa,11391557.62
706,5,2,3,15,3,22,1,Nagpur,Furnished,Villa,9743344.88
2732,3,2,0,2,1,17,0,Nagpur,Semi-Furnished,Apartment,10702074.5
4466,3,3,2,23,15,28,1,Mumbai,Semi-Furnished,Apartment,47255150.59
2803,4,1,1,25,11,28,0,Chennai,Unfurnished,Apartment,10468267.5
4208,1,3,3,9,10,14,2,Bangalore,Unfurnished,Independent House,42527335.25
3001,5,1,3,12,2,10,0,Nagpur,Unfurnished,Apartment,15106202.24
949,4,3,3,8,13,25,2,Mumbai,Unfurnished,Villa,12136453.89
1488,3,2,1,11,6,28,0,Delhi,Unfurnished,Independent House,13834963.46
2544,4,4,0,23,20,29,0,Delhi,Furnished,Independent House,15634269.43
1952,5,4,2,27,14,17,0,Bangalore,Unfurnished,Independent House,22592797.55
4961,1,1,0,21,8,17,2,Bangalore,Unfurnished,Apartment,22909676.01
565,5,1,3,4,20,29,0,Hyderabad,Unfurnished,Apartment,4277535.11
2742,2,1,2,18,9,27,0,Mumbai,Unfurnished,Apartment,25769188.99
847,3,1,2,0,5,9,0,Bangalore,Semi-Furnished,Apartment,5447574.7
979,1,2,2,29,19,28,2,Hyderabad,Unfurnished,Apartment,4529207.95
4097,1,4,1,11,19,20,0,Pune,Unfurnished,Apartment,32199057.84
782,1,2,1,24,6,16,2,Bangalore,Furnished,Apartment,5081626.62
4756,5,2,0,25,6,7,1,Hyderabad,Furnished,Apartment,20694667.32
3276,3,1,1,28,18,18,1,Hyderabad,Furnished,Apartment,18532202.5
465,4,4,2,25,9,28,0,Mumbai,Semi-Furnished,Apartment,6004309.69
1453,3,3,3,24,3,10,2,Mumbai,Unfurnished,Independent House,12343127.31
4462,2,1,3,1,20,26,2,Pune,Unfurnished,Apartment,24312488.13
1354,1,4,1,23,13,13,2,Nagpur,Unfurnished,Independent House,6406976.72
1436,5,4,0,1,18,25,0,Chennai,Semi-Furnished,Apartment,9701920.45
1488,1,2,2,10,9,19,1,Nagpur,Semi-Furnished,Apartment,9466256.78
3637,1,1,1,13,8,11,1,Mumbai,Unfurnished,Apartment,29344659.95
672,5,2,1,22,7,7,2,Mumbai,Unfurnished,Apartment,9798771.05
1916,1,4,0,12,7,21,2,Pune,Furnished,Apartment,17745204.55
3968,4,1,1,10,14,26,1,Hyderabad,Furnished,Apartment,18467057.27
2587,3,1,1,0,0,11,2,Mumbai,Semi-Furnished,Villa,39225907.27
3832,4,1,2,10,18,18,0,Hyderabad,Semi-Furnished,Apartment,18716267.06
1721,1,3,3,23,2,23,1,Mumbai,Unfurnished,Independent House,21543439.24
3018,5,1,3,25,15,22,2,Pune,Unfurnished,Independent House,24835974.54
2314,3,3,1,7,5,10,0,Nagpur,Unfurnished,Villa,12615120.8
4154,3,1,0,6,1,7,2,Chennai,Unfurnished,Apartment,22930964.39
1990,1,2,2,8,17,30,1,Bangalore,Unfurnished,Apartment,10673010.38
2915,1,2,0,4,14,24,0,Bangalore,Unfurnished,Independent House,27335697.2
4499,3,4,2,4,7,11,1,Pune,Furnished,Apartment,40227797.39
1832,3,4,1,14,1,8,0,Hyderabad,Furnished,Apartment,12764355.87
4121,4,1,3,18,15,25,2,Pune,Semi-Furnished,Apartment,32615530.7
4557,4,2,0,16,3,24,0,Bangalore,Unfurnished,Independent House,43661995.33
2798,1,3,2,4,1,15,2,Bangalore,Semi-Furnished,Independent House,30485818.76
2459,3,4,1,22,17,24,1,Bangalore,Furnished,Apartment,17857291.11
3414,2,3,1,19,13,18,2,Bangalore,Unfurnished,Villa,45570173.33
3684,2,3,3,25,17,28,0,Pune,Unfurnished,Villa,39774502.25
2625,2,4,3,21,2,2,2,Bangalore,Unfurnished,Apartment,15684377.35
1090,4,4,1,0,10,25,0,Hyderabad,Unfurnished,Independent House,13470021.1
3631,3,4,0,14,3,21,1,Delhi,Unfurnished,Apartment,36331001.39
1615,3,2,1,6,14,25,1,Pune,Semi-Furnished,Apartment,16703115.47
2039,1,1,3,22,8,29,2,Pune,Furnished,Apartment,10762831.16
2290,4,3,2,29,11,30,0,Pune,Unfurnished,Apartment,15037106.72
1633,1,2,2,14,8,16,2,Mumbai,Unfurnished,Apartment,17832536.99
2264,4,4,1,14,18,30,0,Nagpur,Unfurnished,Independent House,10563152.75
720,1,3,3,20,18,24,1,Nagpur,Unfurnished,Apartment,2435563.17
4572,5,3,3,20,9,23,1,Hyderabad,Semi-Furnished,Apartment,20327901.68
4457,5,3,3,25,14,19,2,Chennai,Unfurnished,Apartment,34073334.46
4225,2,3,2,27,0,16,1,Mumbai,Unfurnished,Apartment,19734827.98
2410,2,1,2,5,10,26,1,Nagpur,Unfurnished,Apartment,11704441.41
2204,4,3,0,17,3,17,0,Mumbai,Semi-Furnished,Apartment,24443726.34
882,3,1,2,22,8,9,2,Bangalore,Unfurnished,Independent House,6225827.3
2899,4,1,2,2,14,26,2,Bangalore,Furnished,Independent House,46990603.25
4189,2,1,1,9,9,18,1,Mumbai,Unfurnished,Apartment,46121515.01
4788,4,1,2,29,12,22,1,Mumbai,Furnished,Independent House,64774439.72
968,5,1,3,10,11,12,2,Mumbai,Semi-Furnished,Apartment,13922010.45
639,3,2,0,30,0,16,0,Mumbai,Unfurnished,Apartment,7509508.57
1958,1,3,3,12,8,20,1,Bangalore,Semi-Furnished,Apartment,11492393.68
1119,4,1,0,7,5,24,1,Delhi,Semi-Furnished,Independent House,14771996.64
1818,5,2,3,18,17,30,0,Mumbai,Unfurnished,Apartment,21363803.43
3127,5,3,2,16,5,12,2,Hyderabad,Unfurnished,Apartment,23136395.21
3601,3,4,2,1,2,8,2,Bangalore,Unfurnished,Apartment,29332748.02
1159,2,1,2,17,11,21,0,Nagpur,Unfurnished,Independent House,5019892.4
1369,5,2,1,26,7,8,0,Hyderabad,Furnished,Apartment,10754032.71
3708,3,3,2,6,6,11,0,Pune,Furnished,Apartment,33434495.04
2912,1,1,2,28,6,27,0,Delhi,Unfurnished,Apartment,11491968.42
4058,1,2,2,2,3,18,0,Mumbai,Furnished,Apartment,64661064.41
1740,4,4,1,11,12,16,0,Delhi,Semi-Furnished,Apartment,20163477.45
3688,2,4,3,17,6,18,1,Mumbai,Semi-Furnished,Apartment,34214614.83
1111,2,1,3,19,11,18,1,Bangalore,Unfurnished,Apartment,10463484.22
3187,1,3,1,17,13,24,2,Delhi,Unfurnished,Apartment,26404355.76
4745,2,2,0,10,13,29,1,Bangalore,Unfurnished,Apartment,22916169.39
1498,4,3,3,0,9,29,0,Delhi,Unfurnished,Independent House,14005422.58
2093,5,4,3,3,10,27,2,Mumbai,Unfurnished,Apartment,16375107.74
663,1,3,3,25,2,10,2,Hyderabad,Unfurnished,Villa,5053477.42
1233,4,1,2,26,15,25,0,Mumbai,Unfurnished,Apartment,7357184.34
3901,4,4,0,16,16,25,0,Bangalore,Unfurnished,Apartment,43033633.49
4523,1,4,2,15,10,19,1,Bangalore,Unfurnished,Independent House,31903992.66
528,4,1,3,10,9,11,1,Nagpur,Unfurnished,Apartment,3948237.33
3899,5,4,0,5,17,23,0,Bangalore,Unfurnished,Apartment,32202719.06
1827,2,1,1,0,3,6,0,Hyderabad,Unfurnished,Apartment,7695206.49
2616,2,4,3,12,5,8,1,Chennai,Unfurnished,Villa,20747608.03
4295,4,3,2,3,16,18,0,Mumbai,Semi-Furnished,Apartment,43184436.6
2583,1,3,0,28,7,17,1,Hyderabad,Semi-Furnished,Apartment,10061315.16
1119,2,1,0,20,14,22,1,Mumbai,Semi-Furnished,Apartment,11555971.77
2566,4,4,0,19,13,13,2,Delhi,Unfurnished,Apartment,15433220.44
1202,4,3,0,13,18,29,0,Nagpur,Unfurnished,Apartment,9149084.53
3401,3,2,2,25,9,9,0,Chennai,Semi-Furnished,Independent House,19161677.16
1335,1,1,2,27,19,23,0,Hyderabad,Unfurnished,Independent House,10528503.72
4796,4,2,3,11,7,23,0,Pune,Unfurnished,Apartment,18423709.04
2414,4,2,0,2,0,24,2,Bangalore,Semi-Furnished,Apartment,14187726.88
4186,4,4,2,16,20,25,0,Chennai,Unfurnished,Independent House,27428881.56
4351,3,3,3,3,8,22,2,Mumbai,Unfurnished,Apartment,32254432.93
1178,2,4,2,29,15,25,1,Chennai,Semi-Furnished,Apartment,9712713.02
1030,3,2,0,2,2,3,2,Chennai,Furnished,Apartment,12481202.96
2578,3,1,3,16,0,19,1,Hyderabad,Furnished,Apartment,16579383.41
2145,3,1,1,0,20,26,1,Bangalore,Furnished,Apartment,27862781.45
840,4,1,2,19,4,10,0,Nagpur,Semi-Furnished,Apartment,4076929.81
1677,3,3,1,20,7,17,2,Bangalore,Semi-Furnished,Independent House,12749139.07
3651,5,2,3,22,12,28,0,Chennai,Unfurnished,Independent House,33368800.45
1870,5,3,3,21,13,30,2,Pune,Unfurnished,Apartment,11642728.79
3091,4,3,1,5,1,16,0,Bangalore,Semi-Furnished,Villa,25256689.58
1226,1,3,2,12,8,30,2,Chennai,Unfurnished,Apartment,6311646.06
710,2,1,2,0,18,29,0,Pune,Furnished,Apartment,4889182.0
3290,3,2,0,20,9,11,1,Bangalore,Semi-Furnished,Independent House,28854920.38
1795,2,3,2,29,15,19,1,Pune,Unfurnished,Apartment,9511997.96
2293,2,1,1,3,3,10,1,Bangalore,Furnished,Villa,37138826.16
2203,5,2,2,9,14,27,1,Bangalore,Unfurnished,Apartment,22266474.53
3196,2,3,3,7,10,30,0,Mumbai,Unfurnished,Apartment,30494210.07
4068,5,4,3,0,6,7,1,Bangalore,Unfurnished,Apartment,50105395.28
2062,4,3,1,15,7,17,1,Mumbai,Unfurnished,Independent House,19308030.02
3237,2,4,3,6,0,21,1,Bangalore,Furnished,Independent House,43511208.84
882,3,3,3,23,2,15,0,Hyderabad,Furnished,Apartment,6204612.49
1232,1,3,0,20,20,25,1,Hyderabad,Unfurnished,Apartment,6757554.63
536,3,3,1,0,4,29,0,Bangalore,Unfurnished,Independent House,6531950.5
3554,3,3,0,1,17,26,0,Bangalore,Semi-Furnished,Apartment,43392865.79
850,5,3,2,10,6,20,2,Mumbai,Unfurnished,Apartment,9812045.21
3800,5,2,0,30,20,22,1,Delhi,Furnished,Apartment,35862294.37
4623,4,4,1,4,4,13,2,Bangalore,Unfurnished,Independent House,30877412.8
2673,5,4,1,14,14,22,2,Chennai,Unfurnished,Apartment,21414274.56
2206,3,3,2,30,1,24,2,Hyderabad,Furnished,Apartment,13430929.67
1939,3,3,0,11,18,26,2,Bangalore,Unfurnished,Apartment,13515960.3
4477,5,2,0,19,5,18,2,Pune,Semi-Furnished,Apartment,26646568.52
4237,4,4,1,26,9,14,0,Nagpur,Unfurnished,Apartment,18362040.71
1302,5,1,3,0,2,2,0,Pune,Unfurnished,Apartment,8667217.11
3443,5,2,0,3,1,3,0,Mumbai,Unfurnished,Independent House,41679652.81
3795,4,1,0,7,13,14,0,Mumbai,Unfurnished,Apartment,36824229.02
1930,4,3,3,27,8,30,0,Chennai,Furnished,Villa,18365601.47
3804,5,4,1,15,4,22,1,Bangalore,Semi-Furnished,Independent House,25930797.12
1498,4,3,3,22,8,24,1,Chennai,Unfurnished,Independent House,13233622.36
3655,1,2,2,26,11,25,0,Chennai,Semi-Furnished,Independent House,27127539.95
3077,5,3,1,27,13,29,1,Mumbai,Semi-Furnished,Apartment,34490862.46
1872,2,1,3,0,0,20,2,Nagpur,Furnished,Apartment,14828581.72
3562,3,4,0,26,16,23,0,Nagpur,Unfurnished,Apartment,12001082.64
1134,3,1,1,13,8,30,1,Bangalore,Unfurnished,Apartment,6509478.19
1636,5,3,2,24,20,23,0,Pune,Unfurnished,Independent House,12382609.65
1533,1,1,2,15,0,9,1,Nagpur,Unfurnished,Independent House,7584250.22
4897,4,2,1,2,14,16,1,Chennai,Unfurnished,Apartment,41674591.29
498,3,1,2,9,3,15,2,Bangalore,Unfurnished,Independent House,5557394.5
1284,2,1,2,10,17,24,0,Bangalore,Semi-Furnished,Apartment,10580073.02
2814,5,4,3,18,6,24,2,Mumbai,Furnished,Apartment,38380053.83
1688,3,4,0,6,5,28,1,Hyderabad,Unfurnished,Apartment,14066951.57
3378,4,2,1,23,3,25,2,Hyderabad,Unfurnished,Apartment,23194859.44
4140,4,3,2,18,16,22,1,Nagpur,Semi-Furnished,Apartment,26918638.3
2980,1,4,2,20,5,23,0,Mumbai,Semi-Furnished,Independent House,20258690.04
1929,5,3,2,8,9,21,2,Bangalore,Semi-Furnished,Independent House,27867516.25
4526,3,2,0,10,4,9,0,Bangalore,Unfurnished,Apartment,37480323.86
2853,1,4,3,9,13,24,1,Pune,Furnished,Apartment,25102617.65
4333,5,3,2,13,12,25,1,Chennai,Furnished,Apartment,21042110.81
3026,1,1,3,28,6,22,2,Hyderabad,Unfurnished,Apartment,14006385.61
1228,4,3,2,8,15,29,2,Bangalore,Unfurnished,Apartment,16263549.53
2546,1,1,0,23,1,22,0,Delhi,Semi-Furnished,Apartment,14362246.08
3233,4,3,3,22,16,29,1,Nagpur,Unfurnished,Apartment,14427033.94
2652,1,1,1,3,2,10,2,Pune,Unfurnished,Independent House,19018911.72
3260,4,1,2,13,6,26,2,Pune,Unfurnished,Apartment,24162546.5
3705,1,4,3,10,4,26,0,Delhi,Semi-Furnished,Apartment,40804174.54
619,2,1,3,23,10,26,0,Bangalore,Furnished,Independent House,6881616.31
2052,5,1,0,23,4,13,1,Bangalore,Unfurnished,Apartment,11973213.47
1344,1,1,1,27,10,18,2,Mumbai,Furnished,Apartment,13053500.94
3773,4,3,3,21,8,25,0,Pune,Unfurnished,Apartment,32388557.26
4957,2,1,1,8,13,18,0,Hyderabad,Unfurnished,Apartment,22691646.54
1412,3,3,1,21,15,21,0,Delhi,Semi-Furnished,Apartment,16286684.03
3856,4,3,0,23,6,8,2,Delhi,Furnished,Apartment,28605836.5
3143,3,3,3,22,8,21,1,Chennai,Semi-Furnished,Independent House,27197442.3
1066,3,3,3,22,12,23,1,Bangalore,Semi-Furnished,Apartment,7387544.19
4930,5,1,0,10,5,16,2,Mumbai,Unfurnished,Independent House,71552834.46
3518,4,4,1,27,6,10,2,Mumbai,Furnished,Independent House,51196868.86
3845,1,1,0,19,16,27,2,Mumbai,Semi-Furnished,Villa,53394336.51
4237,4,4,3,8,16,16,1,Chennai,Semi-Furnished,Villa,47432333.75
2518,1,3,2,21,13,13,2,Hyderabad,Furnished,Independent House,26460459.34
1273,2,2,0,9,4,4,2,Pune,Unfurnished,Apartment,12085729.1
1561,1,3,2,17,12,21,2,Pune,Semi-Furnished,Independent House,18881215.11
2029,2,3,3,2,12,18,0,Chennai,Semi-Furnished,Apartment,15722948.25
2537,5,3,2,22,18,27,1,Hyderabad,Semi-Furnished,Apartment,12158307.01
2094,1,2,3,26,14,21,0,Delhi,Semi-Furnished,Apartment,20904900.61
3611,4,1,0,19,15,30,1,Chennai,Semi-Furnished,Apartment,27731344.82
4510,5,2,1,28,19,21,2,Hyderabad,Unfurnished,Apartment,29150594.87
1505,5,2,0,13,8,11,2,Mumbai,Unfurnished,Independent House,12159055.24
3243,3,4,1,19,1,12,1,Mumbai,Semi-Furnished,Apartment,39519047.21
4813,1,4,0,25,15,19,2,Pune,Semi-Furnished,Apartment,22897453.96
1931,1,1,3,9,14,25,0,Nagpur,Unfurnished,Independent House,9306882.98
4532,5,2,2,7,8,14,2,Delhi,Unfurnished,Villa,59232230.41
1866,2,4,1,29,20,22,1,Mumbai,Unfurnished,Independent House,20810711.39
1918,2,2,0,30,10,30,0,Mumbai,Furnished,Independent House,20462593.73
2188,5,4,2,1,6,21,0,Bangalore,Unfurnished,Villa,26829629.21
2902,1,3,3,10,2,9,0,Mumbai,Furnished,Independent House,25985008.96
967,3,2,3,30,8,27,1,Bangalore,Unfurnished,Apartment,9710660.99
2173,3,1,0,9,1,1,2,Delhi,Unfurnished,Apartment,11968772.52
1012,4,1,0,27,8,9,2,Delhi,Semi-Furnished,Apartment,7570557.12
1219,4,3,3,3,2,7,0,Delhi,Unfurnished,Villa,11890750.34
1838,5,2,0,18,17,22,2,Bangalore,Semi-Furnished,Independent House,16055375.74
4595,3,4,2,24,6,22,1,Nagpur,Unfurnished,Independent House,23799774.79
4009,3,2,1,8,16,30,2,Bangalore,Unfurnished,Apartment,42504027.57
2875,3,2,1,2,15,15,1,Mumbai,Unfurnished,Independent House,36759061.6
4620,3,2,3,2,10,13,0,Mumbai,Semi-Furnished,Apartment,63389865.03
2116,5,2,1,15,15,15,0,Hyderabad,Furnished,Apartment,12851926.87
3356,1,2,2,28,2,16,0,Delhi,Semi-Furnished,Apartment,18869200.7
4114,3,1,3,10,14,27,1,Mumbai,Furnished,Apartment,33422741.62
2008,5,2,2,26,0,1,0,Bangalore,Semi-Furnished,Independent House,12474003.99
2362,2,4,1,21,12,22,1,Pune,Unfurnished,Apartment,9577872.07
3420,1,2,2,30,19,23,0,Mumbai,Semi-Furnished,Apartment,36343026.73
2474,4,2,0,17,18,18,2,Bangalore,Furnished,Independent House,31052000.98
3926,3,3,0,6,16,21,2,Mumbai,Furnished,Villa,59018349.14
1985,2,3,2,26,19,23,2,Bangalore,Unfurnished,Apartment,10507972.9
4467,4,3,3,23,11,27,0,Pune,Furnished,Apartment,25896769.17
